bytecode,label,attack_type,description
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,WETH
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,USDC
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,DAI
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,USDT
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,WBTC
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,UniV2Router
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,UniV2Factory
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,UniV3Factory
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,LINK
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,CRV
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,MKR
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,UNI
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,AAVE
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,COMP
"You are using a deprecated V1 endpoint, switch to Etherscan API V2 using https://docs.etherscan.io/v2-migration",0,BENIGN,BAL
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200390c8c7d7247342cd8100f2f6f77,1,REENTRANCY,REENTRANCY_synthetic_0
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2000d65d670e58e0351d8ae8e4f,1,REENTRANCY,REENTRANCY_synthetic_1
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200ac342fc231b7b0,1,REENTRANCY,REENTRANCY_synthetic_2
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2008716eb3fc12896b96223177494,1,REENTRANCY,REENTRANCY_synthetic_3
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2007733c28ee8,1,REENTRANCY,REENTRANCY_synthetic_4
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200ba53bdb56b8824577d53ecc28a70,1,REENTRANCY,REENTRANCY_synthetic_5
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200a61c7510a1cd89216ca16cffcaea,1,REENTRANCY,REENTRANCY_synthetic_6
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f20087477e86dbcc,1,REENTRANCY,REENTRANCY_synthetic_7
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2007046fc2e18384e51d8,1,REENTRANCY,REENTRANCY_synthetic_8
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f20020c5c3ef80053a88ae3996de50,1,REENTRANCY,REENTRANCY_synthetic_9
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f20001865b3698654ebf5200a5,1,REENTRANCY,REENTRANCY_synthetic_10
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2000939b99d7a1d7b282bf823,1,REENTRANCY,REENTRANCY_synthetic_11
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f2004041f35487d86c669fccbfe0e73d7e73,1,REENTRANCY,REENTRANCY_synthetic_12
0x6080604052600054f1f1f1f1f1f1f1f1600055600055600055600055f1f2f1f2f1f200ad0a757003,1,REENTRANCY,REENTRANCY_synthetic_13
